"year","artists","name"
1997,"['Louis Prima', 'Phil Harris', 'Bruce Reitherman']","I Wan'na Be Like You (The Monkey Song)"
1997,"['Diddy', '112', 'Faith Evans']","I'll Be Missing You (feat. Faith Evans & 112) - 2014 Remaster"
1997,"['Diddy', 'The Notorious B.I.G.', 'Busta Rhymes']","Victory (feat. The Notorious B.I.G. & Busta Rhymes)"
1997,"['Bone Thugs-N-Harmony', '2Pac']","Thug Luv (feat. 2pac)"
1997,"['Janet Jackson', 'Q-Tip', 'Joni Mitchell']","Got 'Til It's Gone"
1997,"['Joan Sebastian', 'Lisa Lopez']","Rumores"
1997,"['Diddy', 'The Notorious B.I.G.', 'JAY-Z']","Young G's (feat. The Notorious B.I.G. & Jay-Z)"
1997,"['The Notorious B.I.G.', '112']","Sky's the Limit (feat. 112) - 2014 Remaster"
1997,"['Ella Fitzgerald', 'Louis Armstrong']","They Can't Take That Away From Me"
1997,"['Diddy', 'The Notorious B.I.G.', 'Mase']","Been Around the World (feat. The Notorious B.I.G. & Mase)"
1997,"['B.B. King', 'Tracy Chapman']","The Thrill Is Gone"
1998,"['Juvenile', 'Lil Wayne', 'Mannie Fresh']","Back That Azz Up"
1998,"['Donny Osmond', 'Chorus - Mulan']","I'll Make a Man Out of You - From ""Mulan""/Soundtrack"
1998,"['2Pac', 'Outlawz']","Hit 'Em Up - Single Version"
1998,"['T-Dre', 'Delux', 'Cali Life Style']","Lost"
1998,"['Big Pun', 'Joe']","Still Not a Player (feat. Joe) - Radio Version"
1998,"['2Pac', 'Talent']","Changes"
1998,"['2Pac', 'Roger', 'Dr. Dre']","California Love - Original Version"
1998,"['2Pac', 'K-Ci & JoJo']","How Do U Want It"
1998,"['Brandy', 'Monica']","The Boy Is Mine"
1998,"['Big Pun', 'Fat Joe']","Twinz (Deep Cover 98) (feat. Fat Joe)"
1998,"['Ms. Lauryn Hill', ""D'Angelo""]","Nothing Even Matters (feat. D'Angelo)"
1998,"['Lea Salonga', 'Harvey Fierstein', 'Matthew Wilder', 'James Hong', 'Jerry Tondo']","A Girl Worth Fighting For - From ""Mulan""/Soundtrack"
1998,"['Pras', ""Ol' Dirty Bastard"", 'Mýa']","Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa)"
1998,"['Billy Bragg', 'Wilco']","California Stars"
1998,"['Gang Starr', 'Inspectah Deck']","Above The Clouds"
1998,"['Joan Sebastian', 'Alberto Vazquez']","Maracas"
1998,"['Franz Liszt', 'Jenő Jandó']","Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major"
1998,"['Whitney Houston', 'Mariah Carey']","When You Believe (with Mariah Carey) - from The Prince of Egypt"
1998,"['Ms. Lauryn Hill', 'Carlos Santana']","To Zion (feat. Carlos Santana)"
1998,"['George Michael', 'Aretha Franklin']","I Knew You Were Waiting (For Me)"
1999,"['Perry Como', 'The Fontane Sisters', 'Mitchell Ayres & His Orchestra']","It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)"
1999,"['Dr. Dre', 'Snoop Dogg']","Still D.R.E."
1999,"['Dr. Dre', 'Eminem']","Forgot About Dre"
1999,"['Dr. Dre', 'Snoop Dogg']","The Next Episode"
1999,"['Dr. Dre', 'Hittman', 'Six-Two', 'Nate Dogg', 'Kurupt']","Xxplosive"
1999,"['Santana', 'Rob Thomas']","Smooth (feat. Rob Thomas)"
1999,"['JAY-Z', 'UGK']","Big Pimpin'"
1999,"['John Prine', 'Iris DeMent']","In Spite of Ourselves (feat. Iris DeMent)"
1999,"['Dr. Dre', 'Eminem', 'Xzibit']","What's The Difference"
1999,"[""Ol' Dirty Bastard"", 'Kelis', 'Rich Travali']","Got Your Money (feat. Kelis)"
1999,"['Mark Chesnutt', 'George Jones', 'Vince Gill', 'Patty Loveless', 'Garth Brooks', 'Clint Black', 'Alan Jackson', 'Travis Tritt', 'Joe Diffie', 'Pam Tillis', 'T. Graham Brown']","I Don't Need Your Rockin' Chair - Version w/special guests"
1999,"['The Roots', 'Tariq Trotter', 'Erykah Badu', 'Eve']","You Got Me"
1999,"['Santana', 'The Product G&B']","Maria Maria (feat. The Product G&B)"
1999,"['Method Man', 'Redman']","Da Rockwilder"
1999,"['John Williams', 'London Symphony Orchestra']","Duel of the Fates"
1999,"['Mariah Carey', 'JAY-Z']","Heartbreaker (feat. Jay-Z)"
1999,"['Eminem', 'Dr. Dre']","Guilty Conscience"
1999,"['Donell Jones', 'Lisa ""Left Eye"" Lopes']","U Know What's Up (feat. Lisa ""Left Eye"" Lopes)"
1999,"['Santana', 'Rob Thomas']","Smooth (feat. Rob Thomas)"
1999,"['Joe Cocker', 'Jennifer Warnes']","Up Where We Belong - From ""An Officer And A Gentleman"""
1999,"['Dr. Dre', 'Devin The Dude', 'Snoop Dogg']","Fuck You"
1999,"['Nas', 'Diddy']","Hate Me Now (feat. Puff Daddy)"
1999,"['Bob Marley & The Wailers', 'Ms. Lauryn Hill']","Turn Your Lights Down Low"
1999,"['Dr. Dre', 'Eminem', ""Knoc-Turn'al""]","The Watcher"
1999,"['Limp Bizkit', 'Method Man']","N 2 Gether Now"
2000,"['Nelly', 'City Spud']","Ride Wit Me"
2000,"['Eminem', 'Dido']","Stan"
2000,"['Shaggy', 'Rik Rok']","It Wasn't Me"
2000,"['Shaggy', 'Rayvon']","Angel"
2000,"['Ludacris', 'Shawnna']","What's Your Fantasy (Featuring Shawna)"
2000,"['Ja Rule', 'Vita']","Put It On Me"
2000,"['Eminem', 'Dr. Dre', 'Snoop Dogg', 'Xzibit', 'Nate Dogg']","Bitch Please II"
2000,"['The Soggy Bottom Boys', 'Dan Tyminski']","I Am A Man Of Constant Sorrow - Radio Edit"
2000,"['Frédéric Chopin', 'Mikhail Pletnev']","Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth."
2000,"['A Touch Of Class', 'Pete Konemann']","Around the World (La La La La La) - Radio Version"
2001,"['Kid Rock', 'Sheryl Crow']","Picture (feat. Sheryl Crow)"
2001,"['Fat Joe', 'Ja Rule', 'Ashanti']","What's Luv? (feat. Ja-Rule & Ashanti)"
2001,"['Ja Rule', 'Ashanti']","Always On Time"
2001,"['Eve', 'Gwen Stefani']","Let Me Blow Ya Mind"
2001,"['Jagged Edge', 'Nelly']","Where the Party At (feat. Nelly)"
2001,"['Christina Aguilera', ""Lil' Kim"", 'Mýa', 'P!nk']","Lady Marmalade - From ""Moulin Rouge"" Soundtrack"
2001,"['Susan Egan', 'Cheryl Freeman', 'LaChanze', 'Vaneese Thomas', 'Lillias White']","I Won't Say (I'm In Love) - From ""Hercules"" / Soundtrack Version"
2001,"['Gary Jules', 'Michael Andrews']","Mad World (Feat. Michael Andrews)"
2001,"['Zero 7', 'Sophie Barker']","In The Waiting Line"
2001,"['Jennifer Lopez', 'Ja Rule']","I'm Real (feat. Ja Rule) - Murder Remix"
2001,"['Diddy', 'Black Rob', 'Mark Curry']","Bad Boy for Life"
2001,"['Ricky Martin', 'Alejandro Sanz', 'Thalia', 'Juan Luis Guerra 4.40', 'Gloria Estefan', 'Celia Cruz', 'Olga Tañón', 'Ricardo Montaner', 'Ana Gabriel', 'Jorge Hernández', 'Los Tigres Del Norte', 'Alicia Villarreal', 'Alejandro Fernández', 'Carlos Vives', 'Jaci Velasquez', 'Marco Antonio Solís', 'José José', 'Lucía Méndez', 'Jennifer Lopez', 'Emmanuele', 'Chayanne', 'Gilberto Santa Rosa', 'Paulina Rubio', 'Alberto ""Beto"" Zapata', 'La Ley', 'Ana Bárbara', 'Carlos Ponce', 'Jon Secada', 'Shakira', 'Gian Marco', 'Luis Fonsi', 'Yuri', 'Miguel Bosé', 'Wilkins', 'Giselle', 'Melina Leon', 'Limi-T 21', 'Christina Aguilera', 'José Feliciano', 'José Luis Rodríguez']","El Ultimo Adiós - Varios Artistas Version"
2001,"['Ja Rule', 'Case']","Livin' It Up"
2001,"['Ludacris', 'Nate Dogg']","Area Codes"
2002,"['Eminem', 'Nate Dogg']","'Till I Collapse"
2002,"['Nelly', 'Kelly Rowland']","Dilemma"
2002,"['Ying Yang Twins', 'Lil Jon & The East Side Boyz']","Get Low"
2002,"['Toby Keith', 'Willie Nelson']","Beer For My Horses"
2002,"['Aventura', 'Judy Santos']","Obsesion"
2002,"['Eminem', 'Dina Rae']","Superman"
2002,"['Ja Rule', 'Ashanti']","Mesmerize"
2002,"[""Mark Keali'i Ho'omalu"", ""Kamehameha Schools Children's Chorus""]","Hawaiian Roller Coaster Ride - From ""Lilo & Stitch""/Soundtrack Version"
2002,"['Grits', 'TobyMac']","Ooh Ahh (My Life Be Like) (feat. Toby Mac)"
2002,"['Cam’ron', 'Juelz Santana']","Oh Boy"
2002,"['Nivea', 'Brian Casey', 'Brandon Casey']","Don't Mess With My Man (feat. Brian Casey & Brandon Casey)"
2002,"[""Mark Keali'i Ho'omalu"", ""Kamehameha Schools Children's Chorus""]","He Mele No Lilo - From ""Lilo & Stitch""/Soundtrack Version"
2002,"['Jennifer Lopez', 'Jadakiss', 'Styles P']","Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix"
2002,"['Counting Crows', 'Vanessa Carlton']","Big Yellow Taxi"
2002,"['Nelly', 'Murphy Lee', 'Ali', 'Kyjuan']","Air Force Ones"
2002,"['Busta Rhymes', 'Mariah Carey', 'Flipmode Squad']","I Know What You Want (feat. Flipmode Squad)"
2002,"['Christina Aguilera', 'Redman']","Dirrty (feat. Redman)"
2002,"['George Frideric Handel', 'Alexander Briger', 'Academy of St. Martin in the Fields']","Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande"
2002,"['Eartha Kitt', 'Henri Rene & His Orchestra']","Santa Baby (with Henri René & His Orchestra)"
2002,"['Sean Paul', 'Sasha', 'Jeremy Harding', 'Murray Elias']","I'm Still in Love with You (feat. Sasha)"
2002,"['JAY-Z', 'Beyoncé']","03' Bonnie & Clyde"
2002,"['2Pac', 'Anthony Hamilton']","Thugz Mansion - 7 Remix"
2002,"['Tweet', 'Missy Elliott']","Oops (Oh My) [feat. Missy Elliott]"
2002,"['The Roots', 'Cody Chesnutt']","The Seed (2.0)"
2002,"['DJ Sammy', 'D/O']","Heaven"
2002,"['Snoop Dogg', 'Pharrell Williams', 'Uncle Charlie Wilson']","Beautiful"
2002,"['Santana', 'Michelle Branch']","The Game of Love (feat. Michelle Branch) - Main / Radio Mix"
2002,"['Juanes', 'Nelly Furtado']","Fotografía"
2003,"['Beyoncé', 'JAY-Z']","Crazy In Love (feat. Jay-Z)"
2003,"['Baby Bash', 'Frankie J']","Suga Suga"
2003,"['50 Cent', 'Nate Dogg']","21 Questions"
2003,"['Juvenile', 'Soulja Slim']","Slow Motion"
2003,"['Fabolous', 'Tamia']","Into You (feat. Tamia)"
2003,"['OutKast', 'Sleepy Brown']","The Way You Move (feat. Sleepy Brown)"
2003,"['Lionel Richie', 'Diana Ross']","Endless Love - From ""The Endless Love"" Soundtrack"
2003,"['Brad Paisley', 'Alison Krauss']","Whiskey Lullaby (feat. Alison Krauss)"
2003,"['50 Cent', 'Eminem']","Patiently Waiting"
2003,"['Ying Yang Twins', 'Lil Jon & The East Side Boyz']","Salt Shaker"
2003,"['Murphy Lee', 'Nelly', 'Diddy']","Shake Ya Tailfeather - Radio Edit"
2003,"['Pharrell Williams', 'JAY-Z']","Frontin' (feat. Jay-Z) - Club Mix"
2003,"['Fabolous', 'Mike Shorey', ""Lil' Mo""]","Can't Let You Go (feat. Mike Shorey & Lil' Mo)"
2003,"['Chingy', 'Ludacris', 'Snoop Dogg']","Holidae In"
2003,"['Beyoncé', 'Sean Paul']","Baby Boy (feat. Sean Paul)"
2003,"['G-Unit', 'Joe']","Wanna Get To Know You"
2003,"['Benny Benassi', 'The Biz']","Satisfaction (Isak Original Extended) - Benny Benassi Presents The Biz"
2003,"['Eminem', 'DMX', 'Obie Trice']","Go To Sleep"
2004,"['Usher', 'Lil Jon', 'Ludacris']","Yeah! (feat. Lil Jon & Ludacris)"
2004,"['Usher', 'Alicia Keys']","My Boo"
2004,"['Ciara', 'Missy Elliott']","One, Two Step (feat. Missy Elliott)"
2004,"['Kanye West', 'Syleena Johnson']","All Falls Down"
2004,"['Snoop Dogg', 'Pharrell Williams']","Drop It Like It's Hot"
2004,"['JAY-Z', 'Linkin Park']","Numb / Encore"
2004,"['Seether', 'Amy Lee']","Broken"
2004,"['Trick Daddy', 'Big D', 'Twista']","Let's Go (feat. Big D & Twista)"
2004,"['Kenny Chesney', 'Uncle Kracker']","When the Sun Goes Down"
2004,"['Ciara', 'Petey Pablo']","Goodies (feat. Petey Pablo)"
2004,"['Twista', 'Kanye West', 'Jamie Foxx']","Slow Jamz"
